system:index,Map,NDVI,aspect,current_date,elevation,is_landslide,max_water_accumulation,prev_day_water_accumulation,prev_end,prev_start,slope,soil_temperature,today_end,today_expected_rain,today_rain_probability,today_start,volumetric_soil_moisture,water_accumulation,.geo
0,40,0.3844445049762726,276.68182373046875,2023-03-29,8.896279335021973,0,1.0,0.0,2023-03-29,2023-03-28,2.9921810626983643,300.792724609375,2023-03-30,0.0,0.0,2023-03-29,0.1911652833223343,1.0,"{""type"":""Point"",""coordinates"":[92.0360716581285,22.065252738664377]}"
1,40,0.19169075787067413,285.825439453125,2023-06-04,1.4858207702636719,0,4.0,0.0,2023-06-04,2023-06-03,0.04304236173629761,305.6179504394531,2023-06-05,0.0,0.0,2023-06-04,0.26823869347572327,4.0,"{""type"":""Point"",""coordinates"":[89.44019162633391,23.115995612175148]}"
2,30,0.011910038068890572,79.85357666015625,2019-07-28,1060.401611328125,0,1.0,29.279998779296875,2019-07-28,2019-07-27,21.890575408935547,298.5653381347656,2019-07-29,21.76999855041504,22.91666603088379,2019-07-28,0.396942138671875,1.0,"{""type"":""Point"",""coordinates"":[92.74317724784845,23.815580690741594]}"
3,10,-2.504154690541327E-4,8.975702285766602,2021-09-14,1412.39404296875,0,1.0,0.0,2021-09-14,2021-09-13,36.5034065246582,296.1886291503906,2021-09-15,55.09000015258789,20.83333396911621,2021-09-14,0.45731163024902344,1.0,"{""type"":""Point"",""coordinates"":[97.07164572727137,22.73969790650811]}"
4,10,0.1526837795972824,137.28990173339844,2023-09-01,164.15679931640625,0,43.0,12.899999618530273,2023-09-01,2023-08-31,0.03761540353298187,298.71807861328125,2023-09-02,0.0,0.0,2023-09-01,0.4372812807559967,43.0,"{""type"":""Point"",""coordinates"":[97.47698214592728,24.842054499073093]}"
5,40,0.17006155848503113,302.9587707519531,2023-02-14,49.969642639160156,0,29.0,0.0,2023-02-14,2023-02-13,0.5696166157722473,292.1502990722656,2023-02-15,0.0,0.0,2023-02-14,0.16579627990722656,29.0,"{""type"":""Point"",""coordinates"":[91.2618006885945,26.553244241534266]}"
6,10,0.5046722888946533,116.07121276855469,2022-03-06,1316.010498046875,0,3.0,0.0,2022-03-06,2022-03-05,25.873857498168945,289.2685546875,2022-03-07,0.0,0.0,2022-03-06,0.17085330188274384,3.0,"{""type"":""Point"",""coordinates"":[93.39608218998622,21.984626610164163]}"
7,10,0.18402564525604248,119.39253997802734,2022-04-05,1295.9876708984375,0,4.0,31.259998321533203,2022-04-05,2022-04-04,25.19358253479004,289.7530517578125,2022-04-06,7.829999923706055,8.333333015441895,2022-04-05,0.46838250756263733,2.0,"{""type"":""Point"",""coordinates"":[96.01754692582071,27.08276945809728]}"
8,10,0.1341598480939865,216.59368896484375,2022-08-30,238.34205627441406,0,1.0,7.710000038146973,2022-08-30,2022-08-29,8.672599792480469,300.0537414550781,2022-08-31,18.579999923706055,14.583333015441895,2022-08-30,0.42595672607421875,1.0,"{""type"":""Point"",""coordinates"":[90.7654998867463,25.848433442830302]}"
9,10,-0.003506653243675828,328.8681945800781,2019-12-21,3339.9736328125,0,5.0,0.44999998807907104,2019-12-21,2019-12-20,37.16958999633789,278.8710632324219,2019-12-22,0.2199999988079071,0.0,2019-12-21,0.41119638085365295,5.0,"{""type"":""Point"",""coordinates"":[88.48599794017161,27.619083316554608]}"
10,30,0.5761067867279053,92.10420989990234,2019-12-01,218.47108459472656,0,2.0,0.0,2019-12-01,2019-11-30,3.4954869747161865,296.78265380859375,2019-12-02,0.004000000189989805,0.0,2019-12-01,0.3298918306827545,1.0,"{""type"":""Point"",""coordinates"":[96.02672461440783,22.929695693290906]}"
11,10,0.25073522329330444,113.17598724365234,2021-05-12,303.1690979003906,0,2.0,12.019999504089355,2021-05-12,2021-05-11,23.805204391479492,298.9357604980469,2021-05-13,11.899999618530273,16.66666603088379,2021-05-12,0.37744393944740295,1.0,"{""type"":""Point"",""coordinates"":[96.56661017811678,25.997491340865203]}"
12,10,0.39539381861686707,33.88389587402344,2022-10-06,179.24464416503906,0,3.0,122.90999603271484,2022-10-06,2022-10-05,8.593436241149902,298.9953308105469,2022-10-07,0.20999999344348907,0.0,2022-10-06,0.4931246340274811,3.0,"{""type"":""Point"",""coordinates"":[93.05401517024654,25.738959018610814]}"
