system:index,Map,NDVI,aspect,current_date,elevation,is_landslide,max_water_accumulation,prev_day_water_accumulation,prev_end,prev_start,slope,soil_temperature,today_end,today_expected_rain,today_rain_probability,today_start,volumetric_soil_moisture,water_accumulation,.geo
0,30,0.09293869882822037,3.238046884536743,2020-06-09,1560.0340576171875,1,1.0,4.460000038146973,2020-06-09,2020-06-08,26.342397689819336,295.58221435546875,2020-06-10,7.999999523162842,8.333333015441895,2020-06-09,0.39075788855552673,1.0,"{""type"":""Point"",""coordinates"":[76.855556,11.368889]}"
1,10,0.6093698143959045,169.63589477539062,2021-05-29,742.2283325195312,1,3.0,0.0,2021-05-29,2021-05-28,34.42050552368164,298.55535888671875,2021-05-30,0.9699999690055847,0.0,2021-05-29,0.3488636016845703,3.0,"{""type"":""Point"",""coordinates"":[76.855556,11.343056000000002]}"
2,10,0.3059721887111664,192.85353088378906,2023-10-15,755.4884643554688,1,2.0,76.45999908447266,2023-10-15,2023-10-14,33.49073791503906,298.22955322265625,2023-10-16,0.0,0.0,2023-10-15,0.38865724205970764,2.0,"{""type"":""Point"",""coordinates"":[76.863333,11.343889]}"
3,10,0.6107369065284729,137.99755859375,2019-03-01,782.9857788085938,1,2.0,0.0,2019-03-01,2019-02-28,32.136898040771484,298.2300720214844,2019-03-02,8.309000015258789,8.333333015441895,2019-03-01,0.19224803149700165,2.0,"{""type"":""Point"",""coordinates"":[76.861111,11.344167]}"
4,10,0.29036521911621094,134.00828552246094,2022-09-14,516.5970458984375,1,1.0,0.0,2022-09-14,2022-09-13,26.672590255737305,297.49273681640625,2022-09-15,1.3599998950958252,4.166666507720947,2022-09-14,0.3984222412109375,1.0,"{""type"":""Point"",""coordinates"":[76.873724,11.343727]}"
5,10,0.4599407911300659,178.38095092773438,2023-04-13,482.6106262207031,1,278.0,0.0,2023-04-13,2023-04-12,19.143033981323242,300.33355712890625,2023-04-14,0.0,0.0,2023-04-13,0.16139793395996094,278.0,"{""type"":""Point"",""coordinates"":[76.878333,11.346667]}"
6,10,0.24006053805351257,19.427871704101562,2022-03-19,1313.7982177734375,1,3.0,0.0,2022-03-19,2022-03-18,21.60703468322754,296.135009765625,2022-03-20,13.710000038146973,10.416666984558105,2022-03-19,0.21164004504680634,1.0,"{""type"":""Point"",""coordinates"":[76.903611,11.363333000000003]}"
7,30,0.044443730264902115,328.7479248046875,2020-09-07,1786.2396240234375,1,27.0,377.4599914550781,2020-09-07,2020-09-06,24.400352478027344,295.3042907714844,2020-09-08,0.5199999809265137,0.0,2020-09-07,0.4204063415527344,9.0,"{""type"":""Point"",""coordinates"":[76.904167,11.450277999999999]}"
8,30,0.025044424459338188,328.7479248046875,2019-12-06,1786.2396240234375,1,27.0,4.5,2019-12-06,2019-12-05,24.400352478027344,292.3010559082031,2019-12-07,1.7899999618530273,0.0,2019-12-06,0.39452552795410156,9.0,"{""type"":""Point"",""coordinates"":[76.904167,11.450277999999999]}"
9,30,0.10319650173187256,147.1746368408203,2022-09-16,1899.4013671875,1,1.0,0.0,2022-09-16,2022-09-15,13.407086372375488,295.1560974121094,2022-09-17,0.0,0.0,2022-09-16,0.39638519287109375,1.0,"{""type"":""Point"",""coordinates"":[76.909694,11.516353000000002]}"
