system:index,Map,NDVI,aspect,current_date,elevation,is_landslide,max_water_accumulation,prev_day_water_accumulation,prev_end,prev_start,slope,soil_temperature,today_end,today_expected_rain,today_rain_probability,today_start,volumetric_soil_moisture,water_accumulation,.geo
57,40,0.12793490290641785,3.4149959087371826,2021-05-13,9.363301277160645,0,6.0,11.179999351501465,2021-05-13,2021-05-12,2.4372975826263428,300.74298095703125,2021-05-14,0.0,0.0,2021-05-13,0.39785194396972656,1.0,"{""type"":""Point"",""coordinates"":[89.5585804250962,23.96064567481947]}"
58,40,0.06972161680459976,50.356143951416016,2022-02-12,15.94898796081543,0,2.0,0.0,2022-02-12,2022-02-11,0.27990493178367615,292.16290283203125,2022-02-13,0.0,0.0,2022-02-12,0.317950576543808,2.0,"{""type"":""Point"",""coordinates"":[89.6516633678447,24.852076664837963]}"
59,80,-0.19641423225402832,-0.0,2022-01-01,0.0,0,0.0,0.0,2022-01-01,2021-12-31,0.0,0.0,2022-01-02,0.007000000216066837,0.0,2022-01-01,0.0,0.0,"{""type"":""Point"",""coordinates"":[91.82336733815687,21.78980540409623]}"
60,60,-0.10033980756998062,312.9479675292969,2022-06-03,2.563678503036499,0,199.0,616.8999633789062,2022-06-03,2022-06-02,3.7292604446411133,302.7654113769531,2022-06-04,2.940000057220459,0.0,2022-06-03,0.4624989926815033,199.0,"{""type"":""Point"",""coordinates"":[88.8954396166222,22.54048030124938]}"
61,10,0.30293604731559753,205.34921264648438,2019-02-11,283.9314880371094,0,16.0,78.75,2019-02-11,2019-02-10,35.36518478393555,289.9864807128906,2019-02-12,0.0,0.0,2019-02-11,0.3386014401912689,15.0,"{""type"":""Point"",""coordinates"":[96.27949238250638,26.430193370672473]}"
62,80,-0.027942020446062088,-0.0,2020-03-16,2.0,0,5.0,1.4499999284744263,2020-03-16,2020-03-15,0.0,299.6811218261719,2020-03-17,0.8699999451637268,0.0,2020-03-16,0.2339324951171875,5.0,"{""type"":""Point"",""coordinates"":[89.9537528416459,23.690614352188696]}"
63,10,0.2923649847507477,145.56065368652344,2019-04-02,15.079565048217773,0,1.0,2.0329999923706055,2019-04-02,2019-04-01,2.4827897548675537,301.671875,2019-04-03,0.0,0.0,2019-04-02,0.279247909784317,1.0,"{""type"":""Point"",""coordinates"":[88.19739381328174,23.55585834302424]}"
64,40,0.1902020424604416,325.6590270996094,2022-09-04,126.12394714355469,0,96.0,230.39999389648438,2022-09-04,2022-09-03,0.594889760017395,298.2988586425781,2022-09-05,9.25999927520752,4.166666507720947,2022-09-04,0.4188505709171295,96.0,"{""type"":""Point"",""coordinates"":[97.35016466015918,24.240213888263323]}"
65,40,0.1360549032688141,72.1755142211914,2021-03-05,65.35000610351562,0,2.0,0.0,2021-03-05,2021-03-04,0.2898396849632263,295.05865478515625,2021-03-06,5.980000019073486,4.166666507720947,2021-03-05,0.33180809020996094,2.0,"{""type"":""Point"",""coordinates"":[92.98200414355112,26.56610685223128]}"
66,30,0.16023844480514526,249.2694091796875,2022-12-07,4239.83935546875,0,8.0,0.0,2022-12-07,2022-12-06,15.562396049499512,272.5296936035156,2022-12-08,0.0,0.0,2022-12-07,0.24211883544921875,8.0,"{""type"":""Point"",""coordinates"":[89.28176882171147,29.44274882314251]}"
67,10,0.05328231677412987,339.28302001953125,2019-09-27,1454.111572265625,0,6.0,5.039999961853027,2019-09-27,2019-09-26,19.9438419342041,293.3616638183594,2019-09-28,0.6599999666213989,0.0,2019-09-27,0.48997244238853455,6.0,"{""type"":""Point"",""coordinates"":[97.34409224343005,23.512740146959217]}"
68,10,0.1334179937839508,209.60614013671875,2023-12-14,4.5019330978393555,0,1.0,0.0,2023-12-14,2023-12-13,1.2356832027435303,293.1122741699219,2023-12-15,0.0,0.0,2023-12-14,0.34222665429115295,1.0,"{""type"":""Point"",""coordinates"":[90.53628118477687,23.628175668346252]}"
69,10,0.510117769241333,273.1204833984375,2023-02-08,168.67404174804688,0,3.0,0.0,2023-02-08,2023-02-07,27.469215393066406,293.9119873046875,2023-02-09,0.0,0.0,2023-02-08,0.11470731347799301,2.0,"{""type"":""Point"",""coordinates"":[92.14036003335595,23.212523787366774]}"
70,10,0.002530699595808983,137.508544921875,2023-07-11,1934.175537109375,0,1.0,18.209999084472656,2023-07-11,2023-07-10,18.385446548461914,291.5072937011719,2023-07-12,165.80999755859375,85.41666412353516,2023-07-11,0.425323486328125,1.0,"{""type"":""Point"",""coordinates"":[96.12295718121385,28.246630933145173]}"
71,10,0.08554090559482574,34.35916519165039,2020-03-18,2706.762451171875,0,1.0,5.860000133514404,2020-03-18,2020-03-17,21.709060668945312,276.1870422363281,2020-03-19,2.7099997997283936,0.0,2020-03-18,0.416827529668808,1.0,"{""type"":""Point"",""coordinates"":[90.41049598269201,27.589709193523248]}"
72,10,0.26665031909942627,163.78529357910156,2023-02-03,2418.20458984375,0,5.0,0.0,2023-02-03,2023-02-02,50.03865051269531,273.5803527832031,2023-02-04,0.7799999713897705,0.0,2023-02-03,0.3123442232608795,5.0,"{""type"":""Point"",""coordinates"":[97.11304700627468,28.402421645585378]}"
73,80,-0.06531952321529388,-0.0,2019-11-01,0.0,0,0.0,0.0,2019-11-01,2019-10-31,0.0,0.0,2019-11-02,0.13600000739097595,0.0,2019-11-01,0.0,0.0,"{""type"":""Point"",""coordinates"":[91.66066233362724,22.23483702547934]}"
74,10,0.17910470068454742,344.1871337890625,2020-08-12,155.17236328125,0,1.0,33.39999771118164,2020-08-12,2020-08-11,3.4217023849487305,300.9565124511719,2020-08-13,0.0,0.0,2020-08-12,0.44935163855552673,1.0,"{""type"":""Point"",""coordinates"":[92.80978673214747,25.698570523329142]}"
75,40,0.330209344625473,263.6632385253906,2023-07-14,211.9667205810547,0,10.0,17.440000534057617,2023-07-14,2023-07-13,0.3473557233810425,299.12982177734375,2023-07-15,6.339999675750732,6.25,2023-07-14,0.48329100012779236,1.0,"{""type"":""Point"",""coordinates"":[94.09219147520629,22.162495302471665]}"
76,10,0.04096253961324692,307.06390380859375,2023-10-16,1503.09716796875,0,3.0,0.809999942779541,2023-10-16,2023-10-15,42.70525360107422,289.98529052734375,2023-10-17,0.0,0.0,2023-10-16,0.375286728143692,3.0,"{""type"":""Point"",""coordinates"":[91.52675652933189,26.951634495435947]}"
77,10,-0.004174642730504274,306.61865234375,2021-08-22,2368.667724609375,0,2.0,5.739999771118164,2021-08-22,2021-08-21,33.747467041015625,290.6871643066406,2021-08-23,3.619999885559082,0.0,2021-08-22,0.42606544494628906,2.0,"{""type"":""Point"",""coordinates"":[92.21536571095025,27.081030887752338]}"
78,10,0.19935907423496246,210.74566650390625,2020-09-22,109.57951354980469,0,9.0,139.58999633789062,2020-09-22,2020-09-21,1.834607720375061,301.80047607421875,2020-09-23,48.63999938964844,45.83333206176758,2020-09-22,0.4813264310359955,9.0,"{""type"":""Point"",""coordinates"":[93.9811045879116,26.398386896098184]}"
79,10,0.8079694509506226,172.40269470214844,2022-03-16,429.8363037109375,0,3.0,0.0,2022-03-16,2022-03-15,34.90076446533203,296.00634765625,2022-03-17,0.0,0.0,2022-03-16,0.162567138671875,1.0,"{""type"":""Point"",""coordinates"":[93.00757906512393,24.0981040255716]}"
80,100,-0.029888613149523735,216.76492309570312,2020-04-03,5185.10595703125,0,1.0,0.0,2020-04-03,2020-04-02,34.036434173583984,269.41070556640625,2020-04-04,4.069999694824219,4.166666507720947,2020-04-03,0.3397026062011719,1.0,"{""type"":""Point"",""coordinates"":[93.05023422828067,29.272877458005404]}"
81,10,0.1651645451784134,317.1355285644531,2020-04-24,259.51263427734375,0,2.0,1.0399999618530273,2020-04-24,2020-04-23,18.504777908325195,299.4653015136719,2020-04-25,6.099999904632568,10.416666984558105,2020-04-24,0.16694004833698273,2.0,"{""type"":""Point"",""coordinates"":[96.69518112604489,24.624858435864105]}"
82,40,0.19876742362976074,318.99847412109375,2023-03-09,158.74456787109375,0,154.0,0.0,2023-03-09,2023-03-08,0.5760959982872009,304.4649353027344,2023-03-10,0.0,0.0,2023-03-09,0.2505238950252533,154.0,"{""type"":""Point"",""coordinates"":[95.47923513433234,22.187696985867298]}"
83,40,0.12491735816001892,145.7139129638672,2020-05-15,14.580232620239258,0,4.0,150.0800018310547,2020-05-15,2020-05-14,0.8554926514625549,302.73968505859375,2020-05-16,0.0,0.0,2020-05-15,0.34059271216392517,4.0,"{""type"":""Point"",""coordinates"":[88.54448929122547,24.445997138488803]}"
84,40,0.048226211220026016,255.91075134277344,2022-08-13,41.59757995605469,0,88.0,25.51999855041504,2022-08-13,2022-08-12,1.0888124704360962,304.2786865234375,2022-08-14,12.489999771118164,18.75,2022-08-13,0.3508351743221283,88.0,"{""type"":""Point"",""coordinates"":[90.9185884064982,26.34845777979832]}"
