system:index,Map,NDVI,aspect,current_date,elevation,is_landslide,max_water_accumulation,prev_day_water_accumulation,prev_end,prev_start,slope,soil_temperature,today_end,today_expected_rain,today_rain_probability,today_start,volumetric_soil_moisture,water_accumulation,.geo
0,10,0.8242902159690857,143.05921936035156,2022-03-19,399.0948181152344,0,1.0,0.0,2022-03-19,2022-03-18,28.5140438079834,295.7713928222656,2022-03-20,0.0,0.0,2022-03-19,0.16112899780273438,1.0,"{""type"":""Point"",""coordinates"":[93.45811831938684,24.728286754918518]}"
1,40,0.6062920093536377,36.74772644042969,2019-01-25,213.80274963378906,0,4.0,0.0,2019-01-25,2019-01-24,4.262768268585205,294.0382385253906,2019-01-26,0.0,0.0,2019-01-25,0.2627932131290436,1.0,"{""type"":""Point"",""coordinates"":[95.80552342629754,23.1454454683993]}"
2,10,0.38202011585235596,222.9241180419922,2020-02-24,1465.0548095703125,0,1.0,10.069999694824219,2020-02-24,2020-02-23,25.405065536499023,287.7513732910156,2020-02-25,0.8799999952316284,0.0,2020-02-24,0.4511350095272064,1.0,"{""type"":""Point"",""coordinates"":[95.77579854531189,26.889481232788803]}"
3,10,0.1938214749097824,215.29962158203125,2023-01-08,411.3224792480469,0,4.0,0.0,2023-01-08,2023-01-07,9.50058650970459,287.37255859375,2023-01-09,0.0,0.0,2023-01-08,0.2462615966796875,3.0,"{""type"":""Point"",""coordinates"":[96.10442095940023,28.029558465087426]}"
4,40,0.03729898855090141,235.03530883789062,2020-08-11,19.804447174072266,0,939.0,3173.81982421875,2020-08-11,2020-08-10,0.31085070967674255,301.5343933105469,2020-08-12,53.5,43.75,2020-08-11,0.4065793454647064,939.0,"{""type"":""Point"",""coordinates"":[90.08104762414727,25.181059566191067]}"
5,10,0.022420329973101616,48.583717346191406,2023-07-07,140.26451110839844,0,1.0,81.29000091552734,2023-07-07,2023-07-06,3.461904525756836,300.8509521484375,2023-07-08,51.72999954223633,50.0,2023-07-07,0.4844703674316406,1.0,"{""type"":""Point"",""coordinates"":[95.48472969341513,27.941690142854718]}"
6,10,0.25049281120300293,311.2720642089844,2019-12-08,329.4127502441406,0,18.0,0.0,2019-12-08,2019-12-07,3.693267345428467,287.9185791015625,2019-12-09,0.0,0.0,2019-12-08,0.34694162011146545,1.0,"{""type"":""Point"",""coordinates"":[95.87251696884012,26.400011112923092]}"
7,10,0.11855104565620422,357.7983703613281,2019-12-23,1471.9656982421875,0,1.0,0.3199999928474426,2019-12-23,2019-12-22,19.216064453125,286.5700988769531,2019-12-24,2.4600000381469727,0.0,2019-12-23,0.3080832064151764,1.0,"{""type"":""Point"",""coordinates"":[95.8790831674606,26.52294137877306]}"
8,80,-0.050713635981082916,-0.0,2023-12-06,0.0,0,0.0,0.0,2023-12-06,2023-12-05,0.0,0.0,2023-12-07,0.6599999666213989,0.0,2023-12-06,0.0,0.0,"{""type"":""Point"",""coordinates"":[90.10015634884151,21.607780181836954]}"
9,30,0.010572217404842377,142.75282287597656,2022-04-06,1307.959228515625,0,1.0,0.0,2022-04-06,2022-04-05,11.074769020080566,291.7911376953125,2022-04-07,0.0,0.0,2022-04-06,0.32763800024986267,1.0,"{""type"":""Point"",""coordinates"":[93.92459799695435,25.121262738705212]}"
10,10,0.12387753278017044,286.33245849609375,2020-07-22,172.43801879882812,0,1157.0,30429.099609375,2020-07-22,2020-07-21,9.072545051574707,298.2611389160156,2020-07-23,21.299999237060547,25.0,2020-07-22,0.47491583228111267,1157.0,"{""type"":""Point"",""coordinates"":[94.29882835596875,26.434336457548966]}"
11,10,0.6032755970954895,94.5357437133789,2021-01-02,1540.7242431640625,0,1.0,0.007000000216066837,2021-01-02,2021-01-01,11.869150161743164,285.4198303222656,2021-01-03,0.0,0.0,2021-01-02,0.2400684356689453,1.0,"{""type"":""Point"",""coordinates"":[94.55520662509211,25.452918766783217]}"
12,40,0.3880358934402466,75.07207489013672,2021-04-13,51.341835021972656,0,2.0,0.0,2021-04-13,2021-04-12,0.25923967361450195,301.2846374511719,2021-04-14,0.0,0.0,2021-04-13,0.22168922424316406,2.0,"{""type"":""Point"",""coordinates"":[89.10960274064422,26.210216066802406]}"
13,10,-2.487589081283659E-4,143.718505859375,2021-05-31,1383.7564697265625,0,2.0,18.219999313354492,2021-05-31,2021-05-30,29.770095825195312,295.63214111328125,2021-06-01,69.80999755859375,41.66666793823242,2021-05-31,0.46326637268066406,2.0,"{""type"":""Point"",""coordinates"":[95.8319939202095,26.93837596230106]}"
14,10,0.220486581325531,121.21210479736328,2023-05-02,720.3634033203125,0,1.0,2.638000011444092,2023-05-02,2023-05-01,10.94678783416748,299.07366943359375,2023-05-03,0.5499999523162842,0.0,2023-05-02,0.42327436804771423,1.0,"{""type"":""Point"",""coordinates"":[93.00001777922984,25.321517907960075]}"
